id,Chlorophyll,Temp
232,4.12967682,29.2250004
233,1.8061291,29.6000004
234,-32767,-9999
235,1.70301926,30.4125004
236,2.3440733,-9999
237,1.51493168,30.3500004
238,1.53856862,30.9750004
239,0.303608447,29.9125004
240,-32767,30.5375004
241,2.32859874,28.7875004
242,1.6122762,29.8500004
243,2.53252149,-9999
244,2.51072812,29.7250004
245,1.24815702,-9999
246,0.32922104,29.7875004
247,1.53028691,29.9750004
248,2.08709288,30.1625004
249,1.11693573,30.5375004
250,1.56351495,-9999
251,1.09512031,30.3500004
252,1.25009358,-9999
253,1.24854529,29.0375004
254,1.10491765,-9999
255,1.21971369,-9999
256,-32767,27.9750004
257,-32767,28.2250004
258,-32767,28.7875004
259,-32767,-9999
260,0.672564507,28.1625004
261,-32767,-9999
262,1.25834119,28.7875004
263,-32767,-9999
264,-32767,28.1625004
265,-32767,27.7250004
266,-32767,-9999
267,-32767,28.6000004
268,0.974891722,-9999
269,-32767,27.1625004
270,-32767,28.1625004
271,6.25899649,27.9750004
272,-32767,27.4750004
273,1.89382279,-9999
274,0.17980893,-9999
275,2.22800303,-9999
276,-32767,26.2250004
277,2.63959861,-9999
278,0.915018439,28.0375004
279,1.4591589,28.2250004
280,1.9371196,-9999
281,0.883315027,-9999
282,0.857471406,-9999
283,1.63728297,28.1000004
284,3.11212182,-9999
285,14.0353642,27.9750004
286,1.98663116,-9999
287,1.14001012,26.9125004
288,1.39593494,27.7875004
289,1.22483969,-9999
290,2.00786138,27.4125004
291,1.21599746,-9999
292,1.09429049,27.3500004
293,-32767,-9999
294,0.209773466,27.6000004
295,0.911430657,27.6000004
296,-32767,27.8500004
297,0.300654531,-9999
298,-32767,-9999
299,0.807573438,28.1000004
300,1.93281555,-9999
301,1.14599538,27.0375004
302,-32767,-9999
303,-32767,-9999
304,-32767,27.5375004
305,-32767,27.2250004
306,-32767,27.9125004
307,-32767,-9999
308,0.863544822,27.2875004
309,0.151744559,-9999
310,1.36595607,27.7875004
311,0.651955903,28.0375004
312,-32767,26.7250004
313,-32767,28.4125004
314,-32767,-9999
315,-32767,28.5375004
316,-32767,-9999
317,3.31093311,28.1625004
318,-32767,28.1000004
319,3.89302492,28.0375004
320,2.64280057,28.6625004
321,1.65212536,-9999
322,1.82888997,-9999
323,3.15501761,-9999
324,10.0542936,-9999
325,1.86415517,-9999
326,1.22140574,27.9125004
327,-32767,27.3500004
328,1.16172409,27.4750004
329,1.22996795,26.5375004
330,1.17662179,-9999
331,1.99006534,27.1000004
332,1.61540377,-9999
333,1.83377695,28.4125004
334,-32767,27.6625004
335,0.733623683,27.7250004
336,1.38054526,27.8500004
337,1.10218859,26.9750004
338,1.50619709,26.8500004
339,1.09901249,-9999
340,1.30175042,27.3500004
341,0.907364666,-9999
342,1.60982394,28.1625004
343,0.266701311,28.9750004
344,-32767,28.2875004
345,-32767,27.6625004
346,-32767,-9999
347,-32767,28.1625004
348,2.07412004,-9999
349,1.04336965,27.4125004
350,-32767,27.4750004
351,-32767,27.2875004
352,-32767,27.3500004
353,-32767,26.8500004
354,-32767,27.7250004
355,0.298662096,-9999
356,-32767,27.4125004
357,1.86141586,-9999
358,-32767,26.5375004
359,0.521314085,26.8500004
360,-32767,26.7250004
361,-32767,27.9750004
362,-32767,-9999
363,0.295646787,28.2875004
364,4.28150463,-9999
365,-32767,28.0375004
366,-32767,26.9750004
367,1.28625333,26.6000004
368,3.0240953,-9999
369,-32767,-9999
370,-32767,27.1625004
371,1.74482381,-9999
372,-32767,27.9125004
373,2.98637605,-9999
374,2.90582776,27.7250004
375,3.18370557,27.2250004
376,1.06262481,28.3500004
377,2.1697073,27.5375004
378,1.79008961,-9999
379,2.29286861,25.3500004
380,1.94525516,-9999
381,-32767,26.8500004
382,2.07122898,-9999
383,1.56895375,25.7250004
384,1.84344268,26.8500004
385,2.130054,26.5375004
386,1.37635422,26.2875004
387,1.02245331,-9999
388,1.60370505,27.2875004
389,1.01583254,-9999
390,1.15317535,27.1625004
391,0.840913355,24.3500004
392,-32767,-9999
393,0.807169855,25.2250004
394,1.42091835,25.9125004
395,1.72091079,24.4750004
396,-32767,25.7875004
397,-32767,25.7875004
398,-32767,25.2875004
399,-32767,-9999
400,1.34244311,24.9125004
401,-32767,-9999
402,-32767,24.7250004
403,-32767,25.1625004
404,0.777029335,24.2875004
405,1.03361058,25.1625004
406,-32767,-9999
407,0.890340567,24.4125004
408,-32767,-9999
409,-32767,24.2250004
410,0.331791013,25.4125004
411,-32767,24.8500004
412,-32767,24.7250004
413,-32767,24.0375004
414,0.799880207,24.9125004
415,0.611168087,-9999
416,1.90456045,24.4750004
417,0.43805939,-9999
418,2.41273808,-9999
419,2.26383305,-9999
420,1.25514805,24.2875004
421,1.29912519,24.7250004
422,2.98042512,-9999
423,-32767,24.0375004
424,1.52167881,-9999
425,1.90811861,23.4125004
426,2.49424839,23.8500004
427,1.59157693,23.9125004
428,1.87222481,23.9750004
429,1.33866227,24.2875004
430,1.22625899,24.7250004
431,1.43783569,-9999
432,1.01654828,24.3500004
433,0.940844238,-9999
434,0.89954561,23.0375004
435,-32767,23.3500004
436,0.215352103,23.7875004
437,0.201737344,22.6000004
438,-32767,-9999
439,0.899675488,22.9750004
440,4.04324961,-9999
441,1.10068381,23.7875004
442,-32767,23.0375004
443,-32767,23.4750004
444,-32767,23.2250004
445,-32767,23.3500004
446,1.4013592,23.7250004
447,-32767,-9999
448,1.01066351,23.1000004
449,3.19192195,-9999
450,-32767,23.9125004
451,2.2266376,24.7250004
452,-32767,23.8500004
453,-32767,24.6625004
454,-32767,-9999
455,1.07236898,23.9125004
456,1.72530437,-9999
457,0.562181234,24.1625004
458,-32767,23.9125004
459,1.95393944,24.9750004
460,-32767,25.0375004
461,1.00703537,25.5375004
462,1.6140964,25.1625004
463,1.68032205,-9999
464,0.650277615,25.0375004
465,2.62154841,-9999
466,2.12195802,24.9750004
467,1.83235049,25.7250004
468,-32767,25.2250004
469,2.09108996,24.9750004
470,1.56651688,-9999
471,1.68660533,25.4750004
472,-32767,-9999
473,0.821157038,24.6000004
474,1.37116635,24.2875004
475,1.61977351,24.4125004
476,2.99301982,25.0375004
477,1.082654,23.4750004
478,0.191890791,24.1625004
479,0.972560644,-9999
480,1.11090302,23.8500004
481,1.45797217,-9999
482,0.477207541,24.2875004
483,0.642431378,25.2875004
484,-32767,23.9750004
485,0.950315833,24.7250004
486,-32767,-9999
487,1.32844639,25.6625004
488,-32767,-9999
489,-32767,25.3500004
490,-32767,25.4125004
491,-32767,24.3500004
492,0.556843102,25.2875004
493,-32767,24.7250004
494,1.32228422,24.6000004
495,0.817974806,-9999
496,-32767,25.4125004
497,-32767,-9999
498,-32767,26.4125004
499,-32767,26.1000004
500,-32767,25.7250004
501,-32767,25.4125004
502,0.3437801,-9999
503,1.49567437,24.7875004
504,1.10022116,-9999
505,2.50349021,24.7250004
506,2.63667965,26.2250004
507,1.83927226,26.1625004
508,0.965629101,26.7875004
509,0.810173333,26.1000004
510,5.83931351,27.2875004
511,4.85876656,-9999
512,-32767,26.9750004
513,1.19793355,-9999
514,3.66128397,27.1625004
515,3.67615008,27.6625004
516,2.20640707,27.9125004
517,1.53023303,26.7250004
518,1.78696465,-9999
519,2.04410386,25.9750004
520,1.4893533,-9999
521,1.0436089,27.0375004
522,1.50916779,26.9750004
523,1.67281723,26.8500004
524,-32767,27.5375004
525,1.12205899,26.9750004
526,0.745493591,27.2250004
527,1.18014467,-9999
528,0.970537126,26.8500004
529,0.513965249,-9999
530,-32767,27.2250004
531,-32767,26.5375004
532,0.664650619,25.9125004
533,-32767,27.2250004
534,1.62840784,-9999
535,0.181022659,28.1000004
536,-32767,-9999
537,-32767,28.1000004
538,-32767,28.8500004
539,0.894922435,28.4125004
540,-32767,29.2875004
541,-32767,28.1000004
542,-32767,29.4125004
543,-32767,-9999
544,2.50565553,29.6625004
545,0.915612936,-9999
546,-32767,27.4125004
547,1.00079811,28.1000004
548,1.61068165,27.6625004
549,2.15418386,28.2875004
550,1.86923385,-9999
551,-32767,27.1000004
552,1.17670262,-9999
553,0.217351496,28.1625004
554,-32767,28.7875004
555,1.15142918,27.9125004
556,1.65546346,29.1625004
557,-32767,28.1000004
558,1.43144286,29.1625004
559,1.28814936,-9999
560,0.812924743,-9999
561,1.4484117,-9999
562,2.10588765,27.6625004
563,-32767,28.1000004
564,2.1390748,27.6625004
565,2.11497998,28.4125004
566,1.36610162,-9999
567,1.33171058,29.1625004
568,1.77399242,-9999
569,1.67455411,30.0375004
570,1.65803552,28.1000004
571,1.41100442,28.4125004
572,1.18087268,28.7875004
573,0.614303768,-9999
574,0.559571862,28.7250004
575,-32767,-9999
576,0.348884732,28.7875004
577,0.724846542,-9999
578,0.865479708,28.7250004
579,-32767,29.4125004
580,1.42328942,28.3500004
581,0.237738296,28.7875004
582,0.836922586,-9999
583,-32767,28.7250004
584,-32767,-9999
585,-32767,28.1625004
586,-32767,28.5375004
587,3.40495133,27.9750004
588,-32767,28.7250004
589,-32767,26.8500004
590,5.24667025,29.2875004
591,-32767,-9999
592,-32767,29.0375004
593,0.706593812,-9999
594,0.829739928,27.9750004
595,16.610281,26.6000004
596,-32767,27.6625004
597,-32767,27.7875004
598,1.22378433,-9999
599,1.37295675,-9999
600,-32767,-9999
601,1.05151343,28.2875004
602,0.425673783,28.1625004
603,0.909510076,28.2875004
604,-32767,27.7875004
605,2.24997401,26.3500004
606,2.03265834,28.4125004
607,1.93287528,-9999
608,1.11964715,28.1000004
609,1.045066,-9999
610,1.69511211,27.9750004
611,1.30558336,28.6000004
612,1.19281328,28.4750004
613,0.822562635,28.9750004
614,1.09464371,-9999
615,1.17278707,28.6625004
616,1.13610435,-9999
617,1.20523965,27.1625004
618,-32767,27.4750004
619,1.22619534,26.7875004
620,0.900409281,-9999
621,-32767,27.2875004
622,-32767,28.9125004
623,1.45524168,-9999
624,1.06597698,28.1000004
625,0.598238111,-9999
626,1.20929301,27.2250004
627,1.24466145,27.9125004
628,-32767,27.6625004
629,-32767,-9999
630,-32767,-9999
631,1.04558098,-9999
632,1.34635031,-9999
633,-32767,27.7250004
634,-32767,27.8500004
635,2.68448353,28.2875004
636,1.76954675,28.6000004
637,0.536267698,27.9750004
638,-32767,28.2875004
639,0.692090333,-9999
640,0.379238516,26.4750004
641,1.22988033,-9999
642,0.152097419,27.7875004
643,0.543515205,28.1000004
644,0.889272094,-9999
645,1.89898062,26.6625004
646,1.04897583,-9999
647,1.06673419,27.3500004
648,0.582019866,-9999
649,1.47579861,26.9750004
650,-32767,-9999
651,1.7800355,-9999
652,1.83268249,-9999
653,1.58830369,28.0375004
654,3.31378174,28.3500004
655,2.10104394,-9999
656,0.299922645,28.1625004
657,1.48172736,-9999
658,1.31246483,27.8500004
659,1.86637497,28.5375004
660,1.85106421,26.6000004
661,1.15602875,27.5375004
662,0.859705389,-9999
663,1.57121921,27.7250004
664,1.07042801,-9999
665,0.158132061,28.2875004
666,-32767,28.1000004
667,-32767,27.6625004
668,-32767,27.7250004
669,-32767,26.7250004
670,-32767,27.7875004
671,-32767,-9999
672,1.55934894,28.1000004
673,1.09952676,-9999
674,-32767,28.2250004
675,-32767,28.7250004
676,0.347507536,28.2250004
677,1.02854931,28.7875004
678,-32767,-9999
679,-32767,28.2250004
680,-32767,-9999
681,-32767,28.0375004
682,-32767,27.4750004
683,1.30665541,27.3500004
684,-32767,27.4125004
685,0.391825438,26.7875004
686,-32767,27.2250004
687,0.865276754,-9999
688,1.59663892,-9999
689,0.143851429,-9999
690,1.85279965,26.7250004
691,0.728312135,27.6000004
692,-32767,27.5375004
693,-32767,27.8500004
694,2.30081582,-9999
695,1.27514005,28.0375004
696,1.25355053,-9999
697,0.934400856,26.7875004
698,1.76662946,26.7875004
699,0.871536434,26.5375004
700,0.961310029,27.8500004
